name,kcal,protein,fat,carbs,category,serving_size,serving_unit
برنج پخته (چلو),130,2.7,0.3,28,Grains,100,g
برنج برشت (کته),150,3.0,1.5,32,Grains,100,g
نان بربری,265,8.5,1.2,53,Grains,100,g
نان سنگک,255,9.0,1.0,52,Grains,100,g
نان لavaş,250,8.0,1.0,52,Grains,100,g
ماست کیر,60,3.5,3.3,4.0,Dairy,100,g
ماست پرچرب,95,3.3,5.0,4.5,Dairy,100,g
پنیر لایق,265,18,21,1.5,Dairy,100,g
قورمه سبزی,145,8.5,9.0,7.5,Prepared,100,g
قیمه,155,9.0,8.5,10,Prepared,100,g
قرمه سبزی با برنج,180,7.5,8.0,20,Prepared,100,g
گhéymeh با برنج,190,8.0,7.5,22,Prepared,100,g
پلو سبزی,165,5.5,4.0,28,Prepared,100,g
باقل پلو,175,6.0,4.5,29,Prepared,100,g
زرشک پلو با مرغ,195,12,6.0,24,Prepared,100,g
کباب کوکوب,220,18,16,1.0,Meat,100,g
جوجه کباب,180,22,10,1.5,Poultry,100,g
سیب زمینی سرخ‌کرده,312,3.4,15,41,Vegetables,100,g
ادمه,65,4.5,0.2,11,Legumes,100,g
نخود,164,8.9,2.6,27,Legumes,100,g
عدس,116,9.0,0.4,20,Legumes,100,g
لوبیا,127,8.7,0.5,23,Legumes,100,g
پنیر ترشیده,110,11,7.0,1.0,Dairy,100,g
کره,717,0.9,81,0.1,Oils,100,g
ماست و خیار,55,2.5,3.0,3.5,Prepared,100,g
شله زرد,210,2.5,6.0,37,Sweets,100,g
حلوا,320,4.0,15,45,Sweets,100,g
زولبیا و بامیه,380,3.5,18,52,Sweets,100,g
